0.550,19.27,0.07
0.701,19.25,0.20
1.310,19.75,0.07
2.310,20.25,0.09
2.530,20.47,0.11
3.318,20.52,0.20
3.580,20.58,0.05
5.320,20.86,0.19
6.317,20.93,0.17
6.415,20.59,0.26
6.581,21.06,0.09
6.770,21.00,0.30
8.660,21.40,0.07
12.665,21.69,0.08
