id ra dec
0 1.0854613279254304 -20.0
1 2.1709226558508607 -20.0
2 3.256383983776291 -20.0
3 4.3418453117017215 -20.0
4 5.427306639627152 -20.0
5 6.512767967552582 -20.0
6 7.598229295478013 -20.0
7 8.683690623403443 -20.0
8 9.769151951328872 -20.0
9 10.854613279254304 -20.0
10 11.940074607179735 -20.0
11 13.025535935105164 -20.0
12 14.110997263030594 -20.0
13 15.196458590956025 -20.0
14 16.281919918881457 -20.0
15 17.367381246806886 -20.0
16 18.452842574732315 -20.0
17 19.538303902657745 -20.0
18 20.623765230583178 -20.0
19 21.709226558508607 -20.0
20 22.794687886434037 -20.0
21 23.88014921435947 -20.0
22 24.9656105422849 -20.0
23 26.05107187021033 -20.0
24 27.13653319813576 -20.0
25 28.221994526061188 -20.0
26 29.30745585398662 -20.0
27 30.39291718191205 -20.0
28 31.47837850983748 -20.0
29 32.56383983776291 -20.0
30 33.64930116568834 -20.0
31 34.73476249361377 -20.0
32 35.8202238215392 -20.0
33 36.90568514946463 -20.0
34 37.99114647739006 -20.0
35 39.07660780531549 -20.0
36 40.16206913324093 -20.0
37 41.247530461166356 -20.0
38 42.332991789091786 -20.0
39 43.418453117017215 -20.0
40 44.503914444942644 -20.0
41 45.589375772868074 -20.0
42 46.6748371007935 -20.0
43 47.76029842871894 -20.0
44 48.84575975664437 -20.0
45 49.9312210845698 -20.0
46 51.01668241249523 -20.0
47 52.10214374042066 -20.0
48 53.18760506834609 -20.0
49 54.27306639627152 -20.0
50 55.35852772419695 -20.0
51 56.443989052122376 -20.0
52 57.52945038004781 -20.0
53 58.61491170797324 -20.0
54 59.70037303589867 -20.0
55 60.7858343638241 -20.0
56 61.87129569174953 -20.0
57 62.95675701967496 -20.0
58 64.0422183476004 -20.0
59 65.12767967552583 -20.0
60 66.21314100345126 -20.0
61 67.29860233137669 -20.0
62 68.38406365930211 -20.0
63 69.46952498722754 -20.0
64 70.55498631515297 -20.0
65 71.6404476430784 -20.0
66 72.72590897100383 -20.0
67 73.81137029892926 -20.0
68 74.89683162685469 -20.0
69 75.98229295478012 -20.0
70 77.06775428270555 -20.0
71 78.15321561063098 -20.0
72 79.23867693855642 -20.0
73 80.32413826648185 -20.0
74 81.40959959440728 -20.0
75 82.49506092233271 -20.0
76 83.58052225025814 -20.0
77 84.66598357818357 -20.0
78 85.751444906109 -20.0
79 86.83690623403443 -20.0
80 87.92236756195986 -20.0
81 89.00782888988529 -20.0
82 90.09329021781072 -20.0
83 91.17875154573615 -20.0
84 92.26421287366158 -20.0
85 93.349674201587 -20.0
86 94.43513552951244 -20.0
87 95.52059685743788 -20.0
88 96.60605818536331 -20.0
89 97.69151951328874 -20.0
90 98.77698084121417 -20.0
91 99.8624421691396 -20.0
92 100.94790349706503 -20.0
93 102.03336482499046 -20.0
94 103.11882615291589 -20.0
95 104.20428748084132 -20.0
96 105.28974880876675 -20.0
97 106.37521013669217 -20.0
98 107.4606714646176 -20.0
99 108.54613279254303 -20.0
100 109.63159412046846 -20.0
101 110.7170554483939 -20.0
102 111.80251677631932 -20.0
103 112.88797810424475 -20.0
104 113.9734394321702 -20.0
105 115.05890076009563 -20.0
106 116.14436208802105 -20.0
107 117.22982341594648 -20.0
108 118.31528474387191 -20.0
109 119.40074607179734 -20.0
110 120.48620739972277 -20.0
111 121.5716687276482 -20.0
112 122.65713005557363 -20.0
113 123.74259138349906 -20.0
114 124.82805271142449 -20.0
115 125.91351403934992 -20.0
116 126.99897536727535 -20.0
117 128.0844366952008 -20.0
118 129.16989802312622 -20.0
119 130.25535935105165 -20.0
120 131.34082067897708 -20.0
121 132.4262820069025 -20.0
122 133.51174333482794 -20.0
123 134.59720466275337 -20.0
124 135.6826659906788 -20.0
125 136.76812731860423 -20.0
126 137.85358864652966 -20.0
127 138.9390499744551 -20.0
128 140.02451130238052 -20.0
129 141.10997263030595 -20.0
130 142.19543395823138 -20.0
131 143.2808952861568 -20.0
132 144.36635661408224 -20.0
133 145.45181794200766 -20.0
134 146.5372792699331 -20.0
135 147.62274059785852 -20.0
136 148.70820192578395 -20.0
137 149.79366325370938 -20.0
138 150.8791245816348 -20.0
139 151.96458590956024 -20.0
140 153.05004723748567 -20.0
141 154.1355085654111 -20.0
142 155.22096989333653 -20.0
143 156.30643122126196 -20.0
144 157.39189254918742 -20.0
145 158.47735387711285 -20.0
146 159.56281520503828 -20.0
147 160.6482765329637 -20.0
148 161.73373786088914 -20.0
149 162.81919918881457 -20.0
150 163.90466051674 -20.0
151 164.99012184466542 -20.0
152 166.07558317259085 -20.0
153 167.16104450051628 -20.0
154 168.2465058284417 -20.0
155 169.33196715636714 -20.0
156 170.41742848429257 -20.0
157 171.502889812218 -20.0
158 172.58835114014343 -20.0
159 173.67381246806886 -20.0
160 174.7592737959943 -20.0
161 175.84473512391972 -20.0
162 176.93019645184515 -20.0
163 178.01565777977058 -20.0
164 179.101119107696 -20.0
165 180.18658043562144 -20.0
166 181.27204176354687 -20.0
167 182.3575030914723 -20.0
168 183.44296441939773 -20.0
169 184.52842574732315 -20.0
170 185.61388707524858 -20.0
171 186.699348403174 -20.0
172 187.78480973109944 -20.0
173 188.87027105902487 -20.0
174 189.9557323869503 -20.0
175 191.04119371487576 -20.0
176 192.1266550428012 -20.0
177 193.21211637072662 -20.0
178 194.29757769865205 -20.0
179 195.38303902657748 -20.0
180 196.4685003545029 -20.0
181 197.55396168242834 -20.0
182 198.63942301035377 -20.0
183 199.7248843382792 -20.0
184 200.81034566620463 -20.0
185 201.89580699413006 -20.0
186 202.98126832205548 -20.0
187 204.0667296499809 -20.0
188 205.15219097790634 -20.0
189 206.23765230583177 -20.0
190 207.3231136337572 -20.0
191 208.40857496168263 -20.0
192 209.49403628960806 -20.0
193 210.5794976175335 -20.0
194 211.66495894545892 -20.0
195 212.75042027338435 -20.0
196 213.83588160130978 -20.0
197 214.9213429292352 -20.0
198 216.00680425716064 -20.0
199 217.09226558508607 -20.0
200 218.1777269130115 -20.0
201 219.26318824093693 -20.0
202 220.34864956886236 -20.0
203 221.4341108967878 -20.0
